Destination,Map,,,,,
United Rep. of Tanzania,Tanzania,,,,,
United States of America,USA,,,,,
Dem. Rep. of the Congo,Democratic Republic of the Congo,,,,,
Iran (Islamic Rep. of),Iran,,,,,
United Kingdom,UK,,,,,
"China, Hong Kong SAR",China:Hong Kong,,,,,
Various/Unknown,,,,,,
Central African Rep.,Central African Republic,,,,,
"China, Macao SAR",China:Macao,,,,,
Serbia and Kosovo (S/RES/1244 (1999)),Serbia,Kosovo,,,,
Côte d'Ivoire,Ivory Coast,,,,,
Congo,Republic of Congo,,,,,
Venezuela (Bolivarian Republic of),Venezuela,,,,,
Dominican Rep.,Dominican Republic,,,,,
Viet Nam,Vietnam,,,,,
Bolivia (Plurinational State of),Bolivia,,,,,
Lao People's Dem. Rep.,Laos,,,,,
Rep. of Korea,South Korea,,,,,
Syrian Arab Rep.,Syria,,,,,
Cabo Verde,Cape Verde,,,,,
Czech Rep.,Czech Republic,,,,,
The former Yugoslav Republic of Macedonia,Macedonia,,,,,
Russian Federation,Russia,,,,,
Rep. of Moldova,Moldova,,,,,
State of Palestine,Palestine,,,,,
Micronesia (Federated States of),Micronesia,,,,,
Antigua and Barbuda,Antigua,Barbuda,,,,
Curaçao,Curacao,,,,,
Trinidad and Tobago,Trinidad,Tobago,,,,
Sint Maarten (Dutch part),Sint Maarten,,,,,
Saint Vincent and the Grenadines,Saint Vincent,Grenadines,,,,
Saint Kitts and Nevis,Saint Kitts,Nevis,,,,
British Virgin Islands,"Virgin Islands, British",,,,,
Brunei Darussalam,Brunei,,,,,
